  PID  PPID %MEM COMMAND
 3701     1  0.0 /usr/sbin/ntpd -p /var/run/ntp/ntpd.pid -g -u ntp:ntp -i /var/lib/ntp -c /etc/ntp.conf
 3761     1  0.0 /usr/sbin/smartd
 3774     1  0.0 /usr/lib/postfix/master
 3800     1  0.0 /usr/sbin/cron
 3823  3774  0.0 pickup -l -t fifo -u
 3824  3774  0.0 qmgr -l -t fifo -u
 3843     1  0.0 /usr/sbin/sshd -o PidFile=/var/run/sshd.init.pid
 3959     1  0.0 /sbin/mingetty --noclear tty1
 3961     1  0.0 /sbin/mingetty tty2
 3963     1  0.0 /sbin/mingetty tty3
 3965     1  0.0 /sbin/mingetty tty4
 3975     1  0.0 /sbin/mingetty tty5
 3976     1  0.0 /sbin/mingetty tty6
 4730  2478  0.1 -:0         
 4752     1  0.0 /bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
 4753     1  0.0 dbus-launch --autolaunch 9fe5b43331dd16711f578ff44a61a184 --binary-syntax --close-stderr
 4777  4730  0.0 /bin/sh /usr/bin/startkde
 4960     1  0.0 /bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
 4961     1  0.0 dbus-launch --sh-syntax --exit-with-session
 4966     1  0.2 kdeinit4: kdeinit4 Running...
 4967  4966  0.5 klauncher
 4969     1  1.0 kded4
 5008  4777  0.0 kwrapper4 ksmserver
 5009  4966  1.4 ksmserver
 5011  5009  1.7 kwin -session 1015110b9fd8000124791360500000100220000_1247938211_215332
 5017     1  1.7 /usr/bin/knotify4
 5018     1  1.5 /usr/bin/krunner
 5020     1  2.0 /usr/bin/plasma
 5024     1  0.5 /usr/bin/nepomukserver
 5026  5024  0.6 /usr/bin/nepomukservicestub nepomukstorage
 5027  5024  0.4 /usr/bin/nepomukservicestub nepomukfilewatch
 5028  5024  0.4 /usr/bin/nepomukservicestub nepomukontologyloader
 5030     1  0.4 /usr/bin/kaccess
 5044  4966  0.5 /usr/bin/policykit-kde
 5046     1  0.2 /usr/bin/pulseaudio --start
 5053     1  1.1 beagled /usr/lib/beagle/BeagleDaemon.exe --replace --bg
 5059     1  0.6 /usr/bin/kupdateapplet
 5060     1  0.7 /usr/bin/kmix
 5062     1  0.5 /usr/bin/klipper
 5083     1  0.0 /usr/lib/kde4/libexec/kdesud
 5309     1  2.3 amarokapp
 5312     1  0.2 kdeinit Running...                           
 5316     1  0.1 dcopserver [kdeinit] --nosid --suicide       
 5318  5312  0.3 klauncher [kdeinit] --new-startup            
 5320     1  0.5 kded [kdeinit] --new-startup                 
 5342  5312  0.2 kio_file [kdeinit] file /tmp/ksocket-BigMic  
 5346  5309  0.5 yauap -noexit
 5356  5309  0.1 ruby /opt/kde3/share/apps/amarok/scripts/score_default/score_default.rb
 5440     1  0.4 knotify [kdeinit]                            
 5465     1  0.4 /usr/bin/kwalletd
 5495     1  1.0 beagled-helper /usr/lib/beagle/IndexHelper.exe
 5536     1  0.6 kio_uiserver [kdeinit]                       
 5621     1  1.1 /usr/bin/konsole
 5623  5621  0.1 /bin/bash
 5648  3381  0.3 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf
 5661  3381  0.3 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf
 5710  5623  0.2 /usr/bin/mc -P /tmp/mc-BigMichi1/mc.pwd.5623
 5712  5710  0.1 bash -rcfile .bashrc
 6305  4966  0.2 kdeinit4: kio_file [kdeinit] file local:/tmp/ksocket-BigMichi1/klauncherMT4967.slave-socket local:/tmp/ksocket-BigMichi1/konquerordx5442.slave-socket
 6313  4966  0.0 /bin/sh /usr/bin/firefox
 6318  6313  3.5 /usr/lib/firefox/firefox
 6320     1  0.1 /usr/lib/GConf/2/gconfd-2
 6332     1  0.1 /usr/lib/gvfs/gvfsd
 6338     1  0.1 /usr/lib/gvfs//gvfs-fuse-daemon /home/BigMichi1/.gvfs
 6389  3381  0.3 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf
 6390  3381  0.3 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf
 6395  3381  0.3 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf
 6737  3381  0.3 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf
 7003  5712  0.0 ps axo pid,ppid,pmem,args
